id	name	xqid	latitude	longitude	country_id
334	Hermannsburg	HMG	-23.93000031	132.8049927	13
335	Hervey Bay	HVB	-25.31889915	152.8800049	13
336	Hobart	HBA	-42.83610153	147.5099945	13
337	Hopetoun	HTU	-35.71530151	142.3600006	13
338	Horn Island	HID	-10.58640003	142.2899933	13
339	Horsham	HSM	-36.66970062	142.1730042	13
340	Hughenden	HGD	-20.81500053	144.2250061	13
341	Humbert River	HUB	-16.4896698	130.6302795	13
342	Iffley	IFF	-18.89999962	141.2169952	13
343	Indulkana	IDK	-26.9666996	133.3249969	13
344	Ingham	IGH	-18.66060066	146.1519928	13
345	Injune	INJ	-25.85000038	148.5330048	13
346	Inkerman	IKP	-16.27499962	141.4420013	13
347	Innamincka	INM	-27.70000076	140.7330017	13
348	Innisfail	IFL	-17.55940056	146.0119934	13
349	Inverell	IVR	-29.88829994	151.1439972	13
350	Inverway	IVW	-17.84110069	129.6430054	13
351	Isisford	ISI	-24.25830078	144.4250031	13
352	Jabiru	JAB	-12.6583004	132.8930054	13
353	Jandakot	JAD	-32.09749985	115.8809967	13
354	Julia Creek	JCK	-20.66830063	141.7230072	13
355	Jundah	JUN	-24.8416996	143.0579987	13
356	Jurien Bay	JUR	-30.29999924	115.0329971	13
357	Kalbarri	KAX	-27.69000053	114.262001	13
358	Kalgoorlie	KGI	-30.7894001	121.461998	13
359	Kalkaringi	KFG	-17.43190002	130.8079987	13
360	Kamileroi	KML	-19.375	140.0570068	13
361	Karratha	KTA	-20.71220016	116.7730026	13
362	Karumba	KRB	-17.45669937	140.8300018	13
363	Katanning	KNI	-33.71670151	117.6330032	13
364	Katherine	KTR	-14.52110004	132.378006	13
365	Kempsey	KPS	-31.07439995	152.7700043	13
366	Kerang	KRA	-35.75139999	143.9389954	13
367	Kingaroy	KGY	-26.5807991	151.8410034	13
368	Kings Creek	KCS	-24.42329979	131.8350067	13
369	Kingscote	KGC	-35.71390152	137.5209961	13
370	Koolburra	KKP	-15.31890011	143.9550018	13
371	Kowanyama	KWM	-15.48560047	141.7510071	13
372	Kubin	KUG	-10.22500038	142.2180023	13
373	Kununurra	KNX	-15.77810001	128.7079926	13
374	Lajamanu	HOK	-18.33670044	130.6380005	13
375	Lake Evella	LEL	-12.49890041	135.8059998	13
376	Launceston	LST	-41.54529953	147.2140045	13
377	Laura	LUU	-15.55000019	144.4499969	13
378	Laura Station	LUT	-15.18330002	144.3670044	13
379	Laverton	LVO	-28.61359978	122.4240036	13
380	Lawn Hill	LWH	-18.56830025	138.6349945	13
381	Leigh Creek	LGH	-30.59830093	138.4259949	13
382	Leinster	LER	-27.84329987	120.7030029	13
383	Leonora	LNO	-28.87809944	121.3150024	13
384	Lightning Ridge	LHG	-29.45669937	147.9839935	13
385	Lindeman Island	LDC	-20.45359993	149.0399933	13
386	Lismore	LSY	-28.83029938	153.2599945	13
387	Lizard Island	LZR	-14.66670036	145.4499969	13
388	Lock	LOC	-33.5442009	135.6929932	13
389	Lockhart River	IRG	-12.78689957	143.3049927	13
390	Longreach	LRE	-23.43420029	144.2799988	13
391	Lord Howe Island	LDH	-31.53829956	159.0769959	13
392	Lorraine	LOA	-18.99329948	139.9069977	13
393	Lotus Vale Station	LTV	-17.04829979	141.3760071	13
394	Lyndhurst	LTP	-19.19580078	144.3710022	13
395	Mackay	MKY	-21.17169952	149.1799927	13
396	Melbourne	MEL	-37.6733017	144.8430023	13
397	Mildura	MQL	-34.22919846	142.0859985	13
398	Milikapiti	SNB	-11.42280006	130.654007	13
399	Moruya	MYA	-35.89780045	150.1439972	13
400	Mount Gambier	MGB	-37.74560165	140.7850037	13
401	Mount Gunson	GSN	-31.45969963	137.173996	13
402	Mount Isa	ISA	-20.66390038	139.4889984	13
403	Mudgee	DGE	-32.5625	149.6109924	13
404	Newcastle	NTL	-32.79499817	151.8339996	13
405	Newman	ZNE	-23.4178009	119.8030014	13
406	Norfolk Island	NLK	-29.04159927	167.9389954	13
407	Paraburdoo	PBO	-23.17110062	117.7450027	13
408	Perth	PER	-31.94029999	115.9670029	13
409	Pirlangimpi	GPN	-11.40250015	130.4219971	13
410	Port Hedland	PHE	-20.37779999	118.6259995	13
411	Port Macquarie	PQQ	-31.43580055	152.8630066	13
412	Port Pirie	PPI	-33.23889923	137.9949951	13
413	Portland	PTJ	-38.31809998	141.470993	13
414	Proserpine	PPP	-20.49500084	148.552002	13
415	Pukatja	ERB	-26.26329994	132.1820068	13
416	Queensland	MCY	-26.60330009	153.0910034	13
417	Renmark	RMK	-34.19639969	140.673996	13
418	Richmond	RCM	-20.70190048	143.1150055	13
419	Robinvale	RBC	-34.65000153	142.7830048	13
420	Rottnest Island	RTS	-32.00669861	115.5400009	13
421	Shellharbour	WOL	-34.56110001	150.7890015	13
422	Shute Harbour	JHQ	-20.27829933	148.7570038	13
423	Smithton	SIO	-40.83499908	145.0839996	13
424	Springvale	KSV	-23.54999924	140.6999969	13
425	St. Helens	HLS	-41.33670044	148.2819977	13
426	Streaky Bay	KBY	-32.83580017	134.2929993	13
427	Sydney	SYD	-33.94609833	151.177002	13
428	Tamworth	TMW	-31.08390045	150.8470001	13
429	Thargomindah	XTG	-27.9864006	143.8110046	13
430	Tom Price	TPR	-22.74600029	117.8690033	13
431	Wadeye	PKT	-14.25	129.529007	13
432	Wagga Wagga	WGA	-35.16529846	147.4660034	13
433	Western Australia	EXM	-22.0333004	114.0999985	13
434	Yalata Mission	KYI	-31.47060013	131.8249969	13
435	Yeelirrie	KYF	-27.27706004	120.0956726	13
436	Yulara	AYQ	-25.18610001	130.9759979	13
437	Oranjestad	AUA	12.50139999	-70.01519775	14
438	Baku	BAK	40.46749878	50.04669952	16
439	Gyandzha	KVD	40.73770142	46.31760025	16
440	Banja Luka	BNX	44.94139862	17.29750061	17
441	Mostar	OMO	43.28290176	17.84589958	17
442	Sarajevo	SJJ	43.82460022	18.3314991	17
443	Bridgetown	BGI	13.07460022	-59.49250031	18
444	Barisal	BZL	22.8010006	90.30120087	19
445	Chittagong	CGP	22.24959946	91.81330109	19
446	Comilla	CLA	23.43720055	91.18969727	19
447	Cox's Bazar	CXB	21.45219994	91.96389771	19
448	Dhaka	DAC	23.843347	90.397783	19
449	Ishhurdi	IRD	24.15250015	89.04940033	19
450	Jessore	JSR	23.18379974	89.16079712	19
451	Lalmonirhat	LLJ	25.88750076	89.43309784	19
452	Rajshahi	RJH	24.43720055	88.61650085	19
453	Saidpur	SPD	25.75919914	88.9088974	19
454	Sylhet	ZYL	24.96319962	91.8667984	19
455	Antwerp	ANR	51.18939972	4.460279942	20
456	Brussels	BRU	50.90140152	4.48443985	20
457	Charleroi	CRL	50.45920181	4.453820229	20
458	Flanders	OST	51.19889832	2.862220049	20
459	Gent	GNE	51.026188	3.684254	20
460	Hasselt	QHA	50.97000122	5.375070095	20
461	Knokke-Heist	KNO	51.34635	3.28586	20
462	Liège	LGG	50.63740158	5.443220139	20
463	Oostmalle	OBL	51.26470184	4.753330231	20
464	Wevelgem	KJK	50.81719971	3.20472002	20
465	Amilcar Cabral De Ga	XGA	10.29920006	-3.250829935	21
466	Aribinda	XAR	14.21700001	-0.883000016	21
467	Arly	ARL	11.59700012	1.48300004	21
468	Banfora	BNR	10.68299961	-4.717000008	21
469	Bobo-Dioulasso	BOY	11.16009998	-4.330969811	21
470	Bogande	XBG	12.9829998	-0.166999996	21
471	Boulsa	XBO	12.64999962	-0.566999972	21
472	Dédougou	DGU	12.45899963	-3.49000001	21
473	Diapaga	DIP	12.05000019	1.782999992	21
474	Diebougou	XDE	10.94999981	-3.25	21
475	Djibo	XDJ	14.10000038	-1.633000016	21
476	Dori	DOR	14.03299999	-0.033	21
477	Fada N'gourma	FNG	12.03299999	0.349999994	21
478	Gorom Gorom	XGG	14.44999981	-0.232999995	21
479	Kantchari	XKA	12.46700001	1.5	21
480	Kaya	XKY	13.06700039	-1.100000024	21
481	Leo	XLU	11.10000038	-2.099999905	21
482	Nouna	XNU	12.75	-3.867000103	21
483	Ouagadougou	OUA	12.35319996	-1.512420058	21
484	Ouahigouya	OUG	13.56700039	-2.417000055	21
485	Pama	XPA	11.25	0.699999988	21
486	Sebba	XSE	13.44999981	0.51700002	21
487	Tambao	TMQ	14.80000019	0.050000001	21
488	Tenkodogo	TEG	11.80000019	-0.367000014	21
489	Tougan	TUQ	13.06700039	-3.066999912	21
490	Zabré	XZA	11.16699982	-0.616999984	21
491	Burgas	BOJ	42.56959915	27.51519966	22
492	Gorna Oryahovitsa	GOZ	43.15140152	25.71290016	22
493	Haskovo	HKV	41.934437	25.555446	22
